primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename,geometry
eaywag1,[],['flight call'],50.7804,3.3496,Motacilla flava,Western Yellow Wagtail,Eddy Scheinpflug,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/235503,eaywag1/XC235503.ogg,POINT (3.3496 50.7804)
eaywag1,[],['flight call'],51.2292,5.255,Motacilla flava,Western Yellow Wagtail,Toon Jansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/313823,eaywag1/XC313823.ogg,POINT (5.255 51.2292)
eaywag1,[],"['call', 'song']",51.6001,0.7992,Motacilla flava,Western Yellow Wagtail,Craig Brookes,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/316571,eaywag1/XC316571.ogg,POINT (0.7992 51.6001)
eaywag1,[],['flight call'],51.0771,-1.7952,Motacilla flava,Western Yellow Wagtail,Simon Gillings,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,1.0,https://www.xeno-canto.org/431856,eaywag1/XC431856.ogg,POINT (-1.7952 51.0771)
eaywag1,[],['flight call'],51.94,5.9038,Motacilla flava,Western Yellow Wagtail,Joost van Bruggen,Creative Commons Attribution-ShareAlike 4.0,5.0,https://www.xeno-canto.org/433384,eaywag1/XC433384.ogg,POINT (5.9038 51.94)
eaywag1,[],['flight call'],51.4089,4.4129,Motacilla flava,Western Yellow Wagtail,Bram Vogels,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,https://www.xeno-canto.org/445249,eaywag1/XC445249.ogg,POINT (4.4129 51.4089)
eaywag1,[],['call'],51.4213,5.4732,Motacilla flava,Western Yellow Wagtail,Jorge Leitão,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,https://www.xeno-canto.org/469613,eaywag1/XC469613.ogg,POINT (5.4732 51.4213)
eaywag1,[],"['call', 'song']",49.2457,-1.1766,Motacilla flava,Western Yellow Wagtail,Olivier SWIFT,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/469957,eaywag1/XC469957.ogg,POINT (-1.1766 49.2457)
eaywag1,[],['flight call'],49.3019,-1.3259,Motacilla flava,Western Yellow Wagtail,Alain Verneau,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/480690,eaywag1/XC480690.ogg,POINT (-1.3259 49.3019)
eaywag1,[],['call'],49.3019,-1.3259,Motacilla flava,Western Yellow Wagtail,Alain Verneau,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/480691,eaywag1/XC480691.ogg,POINT (-1.3259 49.3019)
eaywag1,"['barswa', 'houspa']","['call', 'flight call', 'song']",53.9299,-2.9833,Motacilla flava,Western Yellow Wagtail,Chris Batty,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/507663,eaywag1/XC507663.ogg,POINT (-2.9833 53.9299)
