primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename,geometry
eurcoo,[],['call'],51.3672,5.8406,Fulica atra,Eurasian Coot,Ad Hilders,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,http://xeno-canto.org/671670,eurcoo/XC671670.ogg,POINT (5.8406 51.3672)
eurcoo,[],"['begging call', 'juvenile']",51.4269,5.4752,Fulica atra,Eurasian Coot,Jorge Leitão,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/573675,eurcoo/XC573675.ogg,POINT (5.4752 51.4269)
eurcoo,[],[''],54.1323,-0.1239,Fulica atra,Eurasian Coot,Mark Pearson,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/808756,eurcoo/XC808756.ogg,POINT (-0.1239 54.1323)
eurcoo,[],[''],52.6975,-0.5962,Fulica atra,Eurasian Coot,Andrew Harrop,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/819364,eurcoo/XC819364.ogg,POINT (-0.5962 52.6975)
eurcoo,[],['flight call'],51.94,5.9038,Fulica atra,Eurasian Coot,Joost van Bruggen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/384481,eurcoo/XC384481.ogg,POINT (5.9038 51.94)
eurcoo,[],['nocturnal flight call'],52.1418,5.3724,Fulica atra,Eurasian Coot,Frank Pierik,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/610589,eurcoo/XC610589.ogg,POINT (5.3724 52.1418)
eurcoo,[],[''],52.1963,-6.4439,Fulica atra,Eurasian Coot,Paul Kelly,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://xeno-canto.org/710632,eurcoo/XC710632.ogg,POINT (-6.4439 52.1963)
eurcoo,[],[''],52.5596,-1.2453,Fulica atra,Eurasian Coot,Dale Green,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/783376,eurcoo/XC783376.ogg,POINT (-1.2453 52.5596)
eurcoo,[],['nocturnal flight call'],50.7542,4.5672,Fulica atra,Eurasian Coot,Frederik Fluyt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/548458,eurcoo/XC548458.ogg,POINT (4.5672 50.7542)
eurcoo,[],"['adult', 'nocturnal flight call']",51.9892,4.4694,Fulica atra,Eurasian Coot,Susanne Kuijpers,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/642226,eurcoo/XC642226.ogg,POINT (4.4694 51.9892)
